,method,observation_sequence,n_states,time,log_prob
20112,bw_only,0,12,0.0012752999318763614,-1.3862943611198908
20113,ga_and_bw,0,12,0.8436441000085324,0.0
20114,random_only,0,12,0.0006638000486418605,-11.000327839261313
20115,ga_only,0,12,0.8391431000782177,-5.1156814510844555
20116,bw_only,0,12,0.0012873000232502818,0.0
20117,ga_and_bw,0,12,0.8447823000606149,7.395570986446986e-32
20118,random_only,0,12,0.0005369000136852264,-16.615837319731853
20119,ga_only,0,12,0.8399047000566497,-4.3232217135047915
20120,bw_only,0,12,0.001285600010305643,-2.220446049250312e-16
20121,ga_and_bw,0,12,0.8428325999993831,0.0
20122,random_only,0,12,0.0005341999931260943,-12.80342464474273
20123,ga_only,0,12,0.8400546999182552,-5.130083708421436
20124,bw_only,0,12,0.0013135999906808138,-2.2160779237553974
20125,ga_and_bw,0,12,0.8382989000529051,2.220446049250314e-16
20126,random_only,0,12,0.0005047000013291836,-15.894226016938328
20127,ga_only,0,12,0.838357700034976,-4.775194567237604
20128,bw_only,0,12,0.0013303000014275312,7.395570986446986e-32
20129,ga_and_bw,0,12,0.8446486999746412,0.0
20130,random_only,0,12,0.0005361000075936317,-15.491566450493048
20131,ga_only,0,12,0.8449100999860093,-5.3532211426922265
20132,bw_only,0,12,0.0016431000549346209,0.0
20133,ga_and_bw,0,12,0.8387388000264764,7.395570986446986e-32
20134,random_only,0,12,0.0005050000036135316,-14.711855870983028
20135,ga_only,0,12,0.8441910999827087,-5.05743366937386
20136,bw_only,0,12,0.0012466999469324946,-1.3862943611198908
20137,ga_and_bw,0,12,0.8381268000230193,1.232595164407831e-31
20138,random_only,0,12,0.0005373999010771513,-14.32225288870016
20139,ga_only,0,12,0.8435950999846682,-4.761489172955972
20140,bw_only,0,12,0.0013717000838369131,7.395570986446986e-32
20141,ga_and_bw,0,12,0.843548700097017,0.0
20142,random_only,0,12,0.000507500022649765,-17.762776818136185
20143,ga_only,0,12,0.8443052000366151,-4.718119963416013
20144,bw_only,0,12,0.0013101000804454088,0.0
20145,ga_and_bw,0,12,0.8430261999601498,7.395570986446986e-32
20146,random_only,0,12,0.0006309999153017998,-15.392455570066533
20147,ga_only,0,12,0.844665199983865,-5.303761836099361
20148,bw_only,0,12,0.0015333000337705016,2.220446049250314e-16
20149,ga_and_bw,0,12,0.8436231999658048,0.0
20150,random_only,0,12,0.0006914999103173614,-12.772949375955077
20151,ga_only,0,12,0.8418473000638187,-5.359963112845501
20152,bw_only,0,12,0.0012710000155493617,-2.7725887222404566
20153,ga_and_bw,0,12,0.8398742000572383,7.395570986446986e-32
20154,random_only,0,12,0.0005379000212997198,-12.189735149689147
20155,ga_only,0,12,0.8429280000273138,-5.352348462972348
20156,bw_only,0,12,0.0012725000269711018,1.232595164407831e-31
20157,ga_and_bw,0,12,0.8491182000143453,0.0
20158,random_only,0,12,0.0005007999716326594,-14.236004890847944
20159,ga_only,0,12,0.8501196999568492,-4.572099282055895
