,method,observation_sequence,n_states,time,log_prob
242,random_only,0,8,0.0003766000154428184,-10.98370300032774
243,ga_only,0,8,1.49645530001726,-4.687085919598665
244,bw_only,1,8,0.0009812000207602978,-1.9095425058989703
245,ga_and_bw,1,8,1.4413220999995247,-1.3862943611198917
246,random_only,1,8,0.0003554000286385417,-7.55051914668723
247,ga_only,1,8,1.460788699972909,-3.1343320899512808
248,bw_only,2,8,0.0011705000069923699,-4.682131392667987
249,ga_and_bw,2,8,1.4814692999934778,-3.295836866004329
250,random_only,2,8,0.0005379999638535082,-19.80646628415465
251,ga_only,2,8,1.519199300033506,-7.767823663940208
252,bw_only,3,8,0.001366299984510988,-3.295836866004329
253,ga_and_bw,3,8,1.3855000999756157,-1.3862943611198906
254,random_only,3,8,0.00039409997407346964,-9.686463682305297
255,ga_only,3,8,1.4360759999835864,-3.5783774474762478
256,bw_only,4,8,0.0009658999624662101,-1.3862943611198906
257,ga_and_bw,4,8,1.5127667000051588,-1.216395324324494
258,random_only,4,8,0.00035149999894201756,-12.925030796264158
259,ga_only,4,8,1.3845536000444554,-4.053993551960828
260,bw_only,5,8,0.0010520999785512686,-2.220446049250312e-16
261,ga_and_bw,5,8,1.4763787999982014,1.9721522630525295e-31
262,random_only,5,8,0.00039270002162083983,-10.596927955069987
263,ga_only,5,8,1.459124699991662,-1.6220967859688535
264,bw_only,6,8,0.0014332000282593071,-4.1894676556577615
265,ga_and_bw,6,8,1.4771077000186779,-3.988984046564529
266,random_only,6,8,0.0003608999541029334,-15.482796106556119
267,ga_only,6,8,1.4972138999728486,-7.757335141475542
268,bw_only,7,8,0.001281099976040423,-3.8190850097688767
269,ga_and_bw,7,8,1.5124783999635838,-3.2958368660043402
270,random_only,7,8,0.00040310004260390997,-22.42296049512755
271,ga_only,7,8,1.6171980000217445,-9.242681250186303
272,bw_only,8,8,0.0010659000254236162,0.0
273,ga_and_bw,8,8,1.5606677000178024,-2.2204460492503128e-16
274,random_only,8,8,0.0004981000092811882,-7.259973810684671
275,ga_only,8,8,1.547808500006795,-1.767927166534816
276,bw_only,9,8,0.0011830999865196645,-6.408223661835784
277,ga_and_bw,9,8,1.5332659999839962,-6.931471805599453
278,random_only,9,8,0.0004694000235758722,-29.39542837415921
279,ga_only,9,8,1.5037345999735408,-11.769641281999647
280,bw_only,0,9,0.0010833999840542674,-1.3862943611198906
281,ga_and_bw,0,9,1.6269530999707058,-1.3862943611198906
282,random_only,0,9,0.0005102999857626855,-11.361846385694314
283,ga_only,0,9,1.5548009000485763,-4.906663946505179
284,bw_only,1,9,0.0012713000178337097,-1.3863187760649942
285,ga_and_bw,1,9,1.474599200009834,-3.774758283725524e-15
286,random_only,1,9,0.00042860000394284725,-6.730154765725268
287,ga_only,1,9,1.4801822999725118,-3.275245934447732
288,bw_only,2,9,0.0013378000003285706,-5.545177444479562
289,ga_and_bw,2,9,1.6200685999938287,-4.151732311615909
290,random_only,2,9,0.000569300027564168,-17.672550835593327
291,ga_only,2,9,1.6162250000052154,-8.117271293685938
292,bw_only,3,9,0.0007326999912038445,-1.3862943611198906
293,ga_and_bw,3,9,1.525942100037355,-1.3862943611198906
294,random_only,3,9,0.0004667000030167401,-11.549835150666187
295,ga_only,3,9,1.4696736999903806,-4.1228159280285475
296,bw_only,4,9,0.0011304999934509397,7.395570986446986e-32
297,ga_and_bw,4,9,1.5559720000019297,0.0
298,random_only,4,9,0.0005713000427931547,-12.885849489636437
299,ga_only,4,9,1.6097015999839641,-4.023391929068585
300,bw_only,5,9,0.0011482000118121505,-2.220446049250312e-16
301,ga_and_bw,5,9,1.4544113000156358,6.661338147750941e-16
302,random_only,5,9,0.0004932999727316201,-11.33937680150263
303,ga_only,5,9,1.5880928999977186,-1.8162718486321745
304,bw_only,6,9,0.0013896000455133617,-3.2960860219243746
305,ga_and_bw,6,9,1.560152799997013,-1.387874215789661
306,random_only,6,9,0.0005000000237487257,-14.864883504837131
307,ga_only,6,9,1.544990600028541,-7.679667294070363
308,bw_only,7,9,0.0013013000134378672,-1.3862943611200245
309,ga_and_bw,7,9,1.630741000000853,-1.3862943611198906
310,random_only,7,9,0.0004825000069104135,-18.218352387960298
311,ga_only,7,9,1.5678945000399835,-8.572098044345049
312,bw_only,8,9,0.000998100033029914,-1.6739776909663704
313,ga_and_bw,8,9,1.4725296000251547,1.4791141972893971e-31
